APPROVED SYMBOL	ALIASES
PMS2L8~WITHDRAWN	
NDUFA6-AS1	
MLA1~WITHDRAWN	
RPS26	S26
RPL32P23	
ACTR3	ARP3
HERC2P5	D16F37S6
CERKL	
AKR1C6P	TAKR
CICP13	
MCF2L2	KIAA0861, ARHGEF22
UHMK1	KIS, KIST
LASP1	MLN50, LASP-1
SMCO2	LOC341346
CMH4~WITHDRAWN	
RN7SL315P	
NEK2P2	
SBF2-AS1	
RNA5SP252	
CNN2P12	
TOLLIP-AS1	
OR2G1P	OST619, HS6M1-25
RNU6-410P	
RN7SL857P	
HMGN2P19	
RPL7AP33	
RN7SL214P	
ARL2BPP1	HST2883
SLC16A1P1	
TCEA3	TFIIS.H
ADAM29	SVPH1, CT73
RN7SL790P	
TRNAQ15	
ANKRD39	MGC41816
VIM	
DFNA39~WITHDRAWN	
BTF3P16	
FAM135B	C8ORFK32
C19ORF66	FLJ11286
BTBD6	BDPL
TRNAI28P	
PRUNEP1	
DFNA55	
OSBPL10-AS1	
C10ORF120	BA318C4.1
CYORF15B~WITHDRAWN	
VSTM2L	DJ1118M15.2
ANKRD9	
MIR4666A	HSA-MIR-4666
RPL18AP10	
TCOF1	TREACLE
OR10AC1P	
SCARF2	SREC-II, SREC2, HUMZD58C02
RBM7	
BWSCR1A~WITHDRAWN	
TNRC21~WITHDRAWN	
PARD6B	PAR-6B
RNU7-196P	
BDP1P	
SEPP1	SEP
MVK	LRBP, MK
FAM184A	FLJ13942
RNU6-871P	
LLP~WITHDRAWN	
RPL21P133	
VN1R84P	
CCT4	CCTD
NOX4	KOX-1, KOX
MOSPD1	DJ473B4
RNU2-69P	
ARHGEF16	NBR, GEF16
LCEP1	
MIR4775	HSA-MIR-4775
SORBS3	SCAM-1, SH3D4, VINEXIN
RPSA	LRP, 37LRP, P40, SA
ERRFI1	MIG-6, GENE-33, RALT
LINC00160	
RN7SL379P	
TRAV38-1	TRAV381, TCRAV14S2, TCRAV38S1
RNU6-780P	
ATE1	
TM9SF4	KIAA0255, DJ836N17.2
ZNF275	
CDRT15P2	
RNU6-1143P	
STMN1	SMN, OP18, PR22, PP19, PP17, LAG, FLJ32206
UBE2CP2	
PPP6C	PP6
RPS12P12	
TRAPPC2P4	
IGKV1D-16	
TRAV19	TCRAV12S1, TCRAV19S1
RNU6-1193P	
RNU6-260P	
HMGB1P38	
ATPL~WITHDRAWN	
OR2L8	
PDGFC	SCDGF, FALLOTEIN
RNA5SP375	
BTS~WITHDRAWN	
RNY4P26	
ACADM	MCAD, MCADH, ACAD1
ASTE1	HT001
NUDT19P5	
GLULP1	
TERT	TRT, TP2, TCS1, HEST2, EST2
RLN1	H1
RN7SL650P	
RNU6-847P	
FABP5P11	
HMGB1P8	
RPS2P12	
ZNF731P	
PCDH9	
TTTY10	NCRNA00133
FSCN2	RP30, RFSN
TMEM150C	FLJ12993
C2ORF80	LOC389073
CD3G	
PIRC77	
RN7SL202P	
RN7SL408P	
C3	CPAMD1, ARMD9, C3A, C3B
RUNX1-IT1	FLJ20856
TRNAG26	
PNPLA2	DESNUTRIN, TTS-2.2, ATGL, FP17548, IPLA2ZETA
SCN5A	NAV1.5, LQT3, HB1, HBBD, PFHB1, IVF, HB2, HH1, SSS1, CDCD2, CMPD2, ICCD
RNU6-940P	
WWP2	AIP2
AD4~WITHDRAWN	
RPL14P4	
SLC25A5P8	
MRPS18CP4	
SSXP6	PSISSX6
PPP1R1A	
DAP3	MRPS29, DAP-3, MRP-S29, BMRP-10, MGC126058, MGC126059, DKFZP686G12159
PPP1R3C	PTG
AGO3	HAGO3, FLJ12765
MRPS31P1	
PRICKLE2-AS1	
RPPH1-2P	
RN7SL170P	
HLA-C	
GPATCH8	
DKK3	REIC, RIG
MIR4435-2	HSA-MIR-4435-2
OR55C1P~WITHDRAWN	
TMEM86B	MGC30208
VN1R74P	
FBXO22	FBX22, FISTC1
CTSO1~WITHDRAWN	
RNU6-893P	
HSF1	HSTF1
IGHV4-34	
